Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,448
design__inferred_latch__count,0
design__instance__count,2328
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00046995861339382827
power__switching__total,0.0002585586626082659
power__leakage__total,1.7765275472925168E-8
power__total,0.0007285350584425032
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2768126084479759
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27692551813277355
timing__hold__ws__corner:nom_tt_025C_1v80,0.327313241330629
timing__setup__ws__corner:nom_tt_025C_1v80,7.072031160852558
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327313
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.837845
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,291
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29612621526403493
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29551886774123676
timing__hold__ws__corner:nom_ss_100C_1v60,0.8641979598763168
timing__setup__ws__corner:nom_ss_100C_1v60,-1.256339068338559
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-6.840311621848257
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.256339068338559
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.864198
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.384076
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26994013344215
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27005648481842137
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13181589526333326
timing__setup__ws__corner:nom_ff_n40C_1v95,10.30431946712846
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.131816
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.603203
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,336
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26846381433340155
clock__skew__worst_setup,0.26854660921780454
timing__hold__ws,0.1265732554593276
timing__setup__ws,-1.4481731779213494
timing__hold__tns,0.0
timing__setup__tns,-7.935176296204847
timing__hold__wns,0
timing__setup__wns,-1.4481731779213494
timing__hold_vio__count,0
timing__hold_r2r__ws,0.126573
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,9.260519
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1634
design__instance__area__stdcell,14649
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.888181
design__instance__utilization__stdcell,0.888181
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,41
design__instance__area__class:inverter,153.898
design__instance__count__class:sequential_cell,112
design__instance__area__class:sequential_cell,2672.56
design__instance__count__class:multi_input_combinational_cell,1053
design__instance__area__class:multi_input_combinational_cell,9675.53
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,694
design__instance__area__class:fill_cell,1844.27
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9319.28
design__instance__displacement__mean,5.469
design__instance__displacement__max,99.62
route__wirelength__estimated,42836.2
design__violations,0
design__instance__count__class:timing_repair_buffer,163
design__instance__area__class:timing_repair_buffer,1492.68
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,342.829
design__instance__count__setup_buffer,13
design__instance__count__hold_buffer,76
global_route__vias,965
global_route__wirelength,76721
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
route__net,1407
route__net__special,2
route__drc_errors__iter:0,2956
route__wirelength__iter:0,52862
route__drc_errors__iter:1,2511
route__wirelength__iter:1,52513
route__drc_errors__iter:2,2095
route__wirelength__iter:2,52054
route__drc_errors__iter:3,1353
route__wirelength__iter:3,52031
route__drc_errors__iter:4,1028
route__wirelength__iter:4,52128
route__drc_errors__iter:5,770
route__wirelength__iter:5,52212
route__drc_errors__iter:6,605
route__wirelength__iter:6,52151
route__drc_errors__iter:7,480
route__wirelength__iter:7,52046
route__drc_errors__iter:8,428
route__wirelength__iter:8,52007
route__drc_errors__iter:9,393
route__wirelength__iter:9,52013
route__drc_errors__iter:10,245
route__wirelength__iter:10,52085
route__drc_errors__iter:11,172
route__wirelength__iter:11,52097
route__drc_errors__iter:12,121
route__wirelength__iter:12,52153
route__drc_errors__iter:13,76
route__wirelength__iter:13,52157
