Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,12145
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,96
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,20
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004274948034435511
power__switching__total,0.005067328456789255
power__leakage__total,7.389942169311325E-8
power__total,0.00934235006570816
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2919583268894137
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.29231348724503586
timing__hold__ws__corner:nom_tt_025C_1v80,0.40164045448535113
timing__setup__ws__corner:nom_tt_025C_1v80,153.6776935870963
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.401640
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1210
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,20
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3130709946566074
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.31493561427920047
timing__hold__ws__corner:nom_ss_100C_1v60,1.0382736075887742
timing__setup__ws__corner:nom_ss_100C_1v60,148.3836668868979
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.038274
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,20
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.281358222461833
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2809699774591413
timing__hold__ws__corner:nom_ff_n40C_1v95,0.16383539433291083
timing__setup__ws__corner:nom_ff_n40C_1v95,155.91759435980043
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.163835
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1360
design__max_fanout_violation__count,20
design__max_cap_violation__count,3
clock__skew__worst_hold,-0.2780137587722887
clock__skew__worst_setup,0.2780120656821283
timing__hold__ws,0.15597190647170114
timing__setup__ws,147.81375475328124
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.155972
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,6171
design__instance__area__stdcell,54397.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.749638
design__instance__utilization__stdcell,0.749638
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:inverter,56
design__instance__area__class:inverter,210.202
design__instance__count__class:sequential_cell,227
design__instance__area__class:sequential_cell,5634.15
design__instance__count__class:multi_input_combinational_cell,3968
design__instance__area__class:multi_input_combinational_cell,39479.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5974
design__instance__area__class:fill_cell,18167.4
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,15703
design__instance__displacement__mean,2.516
design__instance__displacement__max,163.52
route__wirelength__estimated,149353
design__violations,0
design__instance__count__class:timing_repair_buffer,753
design__instance__area__class:timing_repair_buffer,6986.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,494.224
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,65.0624
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,192
global_route__vias,112
global_route__wirelength,255493
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,28
design__instance__count__class:antenna_cell,92
design__instance__area__class:antenna_cell,230.221
route__net,5048
route__net__special,2
route__drc_errors__iter:0,573
route__wirelength__iter:0,173755
route__drc_errors__iter:1,203
route__wirelength__iter:1,173609
route__drc_errors__iter:2,187
route__wirelength__iter:2,173572
route__drc_errors__iter:3,131
route__wirelength__iter:3,173602
route__drc_errors__iter:4,87
route__wirelength__iter:4,173645
route__drc_errors__iter:5,85
route__wirelength__iter:5,173652
route__drc_errors__iter:6,59
route__wirelength__iter:6,173657
route__drc_errors__iter:7,59
route__wirelength__iter:7,173657
route__drc_errors__iter:8,2
route__wirelength__iter:8,173664
route__drc_errors__iter:9,0
route__wirelength__iter:9,173662
route__drc_errors__iter:10,56
route__wirelength__iter:10,173492
route__drc_errors__iter:11,37
route__wirelength__iter:11,173526
route__drc_errors__iter:12,37
route__wirelength__iter:12,173526
