Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,2268
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,55
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004430737462826073
power__switching__total,0.0001483307860326022
power__leakage__total,1.680832895090134E-8
power__total,0.000591421325225383
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26859268347462956
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26841937765558416
timing__hold__ws__corner:nom_tt_025C_1v80,0.3204013256507378
timing__setup__ws__corner:nom_tt_025C_1v80,9.098634991854848
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320401
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.836035
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,541
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28131922587699015
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2811514156620721
timing__hold__ws__corner:nom_ss_100C_1v60,0.8580054687367293
timing__setup__ws__corner:nom_ss_100C_1v60,2.730980852093975
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.858005
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.993371
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2641228144287697
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.263944845672889
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11437290327436976
timing__setup__ws__corner:nom_ff_n40C_1v95,11.544374671859698
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114373
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.412324
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,589
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26253791550514205
clock__skew__worst_setup,0.26241629056935456
timing__hold__ws,0.11241152771244424
timing__setup__ws,2.387891729715309
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112412
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.601099
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1621
design__instance__area__stdcell,14874.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.901836
design__instance__utilization__stdcell,0.901836
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,47
design__instance__area__class:inverter,176.419
design__instance__count__class:sequential_cell,132
design__instance__area__class:sequential_cell,3353.22
design__instance__count__class:multi_input_combinational_cell,1025
design__instance__area__class:multi_input_combinational_cell,9262.63
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,647
design__instance__area__class:fill_cell,1619.05
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5825.58
design__instance__displacement__mean,3.447
design__instance__displacement__max,138.66
route__wirelength__estimated,42577.3
design__violations,0
design__instance__count__class:timing_repair_buffer,147
design__instance__area__class:timing_repair_buffer,1400.09
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,357.843
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,36
global_route__vias,23
global_route__wirelength,75762
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,22.5216
route__net,1391
route__net__special,2
route__drc_errors__iter:0,231
route__wirelength__iter:0,51325
route__drc_errors__iter:1,78
route__wirelength__iter:1,51272
route__drc_errors__iter:2,68
route__wirelength__iter:2,51271
route__drc_errors__iter:3,42
route__wirelength__iter:3,51166
route__drc_errors__iter:4,38
route__wirelength__iter:4,51170
route__drc_errors__iter:5,37
route__wirelength__iter:5,51176
route__drc_errors__iter:6,37
route__wirelength__iter:6,51176
route__drc_errors__iter:7,0
route__wirelength__iter:7,51194
route__drc_errors__iter:8,6
route__wirelength__iter:8,51225
route__drc_errors__iter:9,6
route__wirelength__iter:9,51225
route__drc_errors__iter:10,1
route__wirelength__iter:10,51229
route__drc_errors__iter:11,1
route__wirelength__iter:11,51229
route__drc_errors__iter:12,0
route__wirelength__iter:12,51230
route__drc_errors,0
route__wirelength,51194
route__vias,12216
route__vias__singlecut,12216
route__vias__multicut,0
