Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3754
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003541445476002991
power__switching__total,0.00009219984349329025
power__leakage__total,1.702137453207797E-8
power__total,0.0004463614022824913
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25315525392522137
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25326147451610653
timing__hold__ws__corner:nom_tt_025C_1v80,0.371141961002527
timing__setup__ws__corner:nom_tt_025C_1v80,9.935891501897538
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.371142
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2544743654492368
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2545727312120005
timing__hold__ws__corner:nom_ss_100C_1v60,1.0105265799056955
timing__setup__ws__corner:nom_ss_100C_1v60,8.399858824036196
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.010527
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2526291469745478
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2527378378117326
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1409470913210644
timing__setup__ws__corner:nom_ff_n40C_1v95,10.540571380736676
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.140947
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2520817237411986
clock__skew__worst_setup,0.2521337099357969
timing__hold__ws,0.13860413209478328
timing__setup__ws,8.36641712923185
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.138604
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,815
design__instance__area__stdcell,6138.39
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.372174
design__instance__utilization__stdcell,0.372174
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,105
design__instance__area__class:inverter,394.128
design__instance__count__class:sequential_cell,105
design__instance__area__class:sequential_cell,2233.39
design__instance__count__class:multi_input_combinational_cell,233
design__instance__area__class:multi_input_combinational_cell,1670.35
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2939
design__instance__area__class:fill_cell,10354.9
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1068.11
design__instance__displacement__mean,1.196
design__instance__displacement__max,13.18
route__wirelength__estimated,5242.24
design__violations,0
design__instance__count__class:timing_repair_buffer,128
design__instance__area__class:timing_repair_buffer,1256.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,12
design__instance__area__class:clock_buffer,260.25
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,27.5264
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,104
global_route__vias,2328
global_route__wirelength,9873
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,602
route__net__special,2
route__drc_errors__iter:0,106
route__wirelength__iter:0,5345
route__drc_errors__iter:1,7
route__wirelength__iter:1,5280
route__drc_errors__iter:2,32
route__wirelength__iter:2,5276
route__drc_errors__iter:3,0
route__wirelength__iter:3,5294
route__drc_errors,0
route__wirelength,5294
route__vias,2449
route__vias__singlecut,2449
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,189.41
timing__unannotated_net__count__corner:nom_tt_025C_1v80,255
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,255
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,255
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
